Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1n","C_0402_1005Metric",100.642471,-63.607527,45.000000,top
"C2","100n","C_0402_1005Metric",102.926426,-68.133011,135.000000,top
"C3","12p","C_0402_1005Metric",98.379730,-61.344785,-135.000000,top
"C4","12p","C_0402_1005Metric",99.369679,-62.334735,45.000000,top
"C6","100p","C_0402_1005Metric",92.461246,-63.183263,135.000000,top
"Cpara1","5p","C_0805_2012Metric",95.491198,-63.243367,45.000000,top
"D1","LL4148","D_MiniMELF",98.637824,-65.541464,135.000000,top
"D2","LED","LED_0603_1608Metric",96.577164,-59.187553,45.000000,top
"Q1","MMBT3904","SOT-23",92.839548,-66.814256,-135.000000,top
"Q2","MMBT3904","SOT-23",95.455843,-69.430552,-135.000000,top
"Q3","AO3407","SOT-23",99.733839,-71.728649,45.000000,top
"Q4","Q_Photo_NPN","TR8",109.209070,-42.171585,-45.000000,top
"R1","10k","R_0402_1005Metric",93.935563,-61.829154,-45.000000,top
"R2","1k","R_0402_1005Metric",98.521708,-57.243009,-135.000000,top
"R3","1k","R_0402_1005Metric",96.339726,-66.920322,-45.000000,top
"R4","10k","R_0402_1005Metric",91.188454,-64.456055,135.000000,top
"R5","1k","R_0402_1005Metric",97.814044,-68.394640,-45.000000,top
"R6","1M","R_0402_1005Metric",101.561710,-64.526766,45.000000,top
"R7","10k","R_0402_1005Metric",105.885668,-65.435398,135.000000,top
"R8","10k","R_0402_1005Metric",105.793744,-68.384033,45.000000,top
"R10","470","R_0402_1005Metric",110.351047,-41.475085,135.000000,top
"SW1","SKRKAEE020","SW_Push_SPST_NO_Alps_SKRK",119.734912,-56.889456,-135.000000,top
"U1","E73-2G4M08S1C-52840","E73-2G4M08S1C-52840",103.976480,-58.859305,45.000000,top
"U2","SHTC3","Sensirion_DFN-4-1EP_2x2mm_P1mm_EP0.7x1.6mm",104.259322,-66.778901,135.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",101.466251,-60.308874,135.000000,top
